Codigo;Descricao
3202;CABO FLEXIVEL 750V - 2.5MM2 - AZUL
3208;CABO FLEXIVEL 750V - 2.5MM2 - PRETO
3209;CABO FLEXIVEL 750V - 2.5MM2 - VERDE
8559;CABO DE REDE CAT 5E AZUL - FURUKAWA/SOHOPLUS
3131;CABO FLEXIVEL 750V - 1.5MM2 - VERMELHO
25072;ETIQUETA FIO PARA LUVA THERM. 15X4MM BRANCO PVC RIGIDO US-WMT (84UN POR CARTELA)
3115;CABO FLEXIVEL 750V - 1.5MM2 - BRANCO
3124;CABO FLEXIVEL 750V - 1.5MM2 - PRETO
30548;ABRACADEIRA PLAST 300X7.6 MM PRETA
3141;CABO FLEXIVEL 750V - 10.0MM2 - PRETO
26594;TERMINAL TUBOLAR DUPLO 10MM
3136;CABO FLEXIVEL 750V - 10.0MM2 - AZUL
3205;CABO FLEXIVEL 750V - 2.5MM2 - BRANCO
3210;CABO FLEXIVEL 750V - 2.5MM2 - VERMELHO
51;ABRACADEIRA PLAST 190X4.8 MM PRETA
54;ABRACADEIRA PLAST 300X4.8 MM PRETA
3177;CABO FLEXIVEL 750V - 10.0MM2 - VERMELHO
3108;CABO FLEXIVEL 750V - 1.5MM2 - AZUL
3107;CABO FLEXIVEL 750V - 1.5MM2 - AMARELO
3217;CABO FLEXIVEL 750V - 4.0MM2 - AZUL
3194;CABO FLEXIVEL 750V - 2.5MM2 - AMARELO
3224;CABO FLEXIVEL 750V - 4.0MM2 - PRETO
19912;CABO DE REDE CAT 6 VERMELHO DRAKA - PRYSMIAN
983;TERMINAL TUBOLAR 1.5MM - KE1510
3241;CABO FLEXIVEL 750V - 6.0MM2 - BRANCO
3228;CABO FLEXIVEL 750V - 4.0MM2 - VERMELHO
3128;CABO FLEXIVEL 750V - 1.5MM2 - VERDE
3138;CABO FLEXIVEL 750V - 10.0MM2 - BRANCO
3174;CABO FLEXIVEL 750V - 10.0MM2 - VERDE
15808;LUVA THERMOMARK PARA FIOS 0.75-1.5MM² - COMP. 15MM
1425;PARAF AUTO ATARRAXANTE 5.5X1
50;ABRACADEIRA PLAST 190X4.8 MM BRANCA
28970;CABO DE REDE CAT 5 AZUL DRAKA - PRYSMIAN
6808;ARRUELA LISA 3/8 PERFILADO
3220;CABO FLEXIVEL 750V - 4.0MM2 - BRANCO
10685;PORCA SEXTAVADA 1/4 ELETROCALHA
53;ABRACADEIRA PLAST 300X4.8 MM BRANCA
3262;CABO FLEXIVEL 750V - 6.0MM2 - VERMELHO
15809;LUVA THERMOMARK PARA FIOS 2.5-6.0MM² - COMP. 15MM
3226;CABO FLEXIVEL 750V - 4.0MM2 - VERDE
3008;CABO PP 1KV 2X1.5MM - PRETO
1417;PARAF ATARRAXANTE PHILLIPS  PANELA 3.9X32
10869;ROLDANA PLASTICA 30X30 C/ PREGO
3233;CABO FLEXIVEL 750V - 6.0MM2 - AZUL
3585;GRAMPO MIGUELAO BRANCO
3256;CABO FLEXIVEL 750V - 6.0MM2 - PRETO
23433;TERMINAL TUBOLAR DUPLO 0.5MM
16303;ARRUELA LISA 5/16 PERFILADO
25082;IDENTIFICADOR PLASTICO PARA BORNE UCT TM 5 (72UN POR CARTELA)
914;TERMINAL MACHO 1.5-2.5MM
900;TERMINAL ARGOLA 4-6MM/6MM
3192;CABO FLEXIVEL 750V - 16.0MM2 - VERMELHO
3261;CABO FLEXIVEL 750V - 6.0MM2 - VERDE
48;ABRACADEIRA PLAST 100X2.5 MM PRETA
15807;ETIQUETA FIO 4X15MM BRANCO PVC RIGIDO EFZ 960 100
24136;LAMPADA BULBO LED 50W 6500K E27 BIV - AVANT
25137;ETIQUETA ADESIVA PLASTICA CINZA 17X7MM REF US-EMLP SR PHOENIX (114 POR CARTELA)
11191;BUCHA PLASTICA 6MM C/ ANEL
25385;IDENTIFICADOR PLASTICO 18X4 PARA CABO COMANDO REF UCT-WMCO (2.9) PHOENIX (32UN CARTELA)
